contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
BLSH260320C00115000,BLSH,2026-03-20,115.00,call,9.08,9.40,7.30,13,11.50,13,2,0,2025-08-15,0.93681,0.38224,0.00759,-0.04619,0.20452,0.10222
BLSH260320P00115000,BLSH,2026-03-20,115.00,put,54.03,54.00,52.00,9,56.00,8,3,0,2025-08-15,1.03437,-0.57913,0.00705,-0.03880,0.20969,-0.56016
BLSH260320C00120000,BLSH,2026-03-20,120.00,call,8.61,8.85,6.70,8,11.00,11,3,0,2025-08-15,0.93681,0.35998,0.00745,-0.04524,0.20059,0.09726
BLSH260320P00120000,BLSH,2026-03-20,120.00,put,58.44,58.15,56.10,9,60.20,9,9,0,2025-08-15,1.03437,-0.59988,0.00697,-0.03754,0.20717,-0.59328
BLSH260320C00125000,BLSH,2026-03-20,125.00,call,7.80,7.75,7.30,1,8.20,1,21,0,2025-08-15,0.91729,0.33031,0.00737,-0.04288,0.19425,0.09113
BLSH260320P00125000,BLSH,2026-03-20,125.00,put,62.83,62.60,60.50,9,64.70,8,11,0,2025-08-15,1.05388,-0.61167,0.00678,-0.03742,0.20547,-0.62542
BLSH260320C00130000,BLSH,2026-03-20,130.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.27341,0.00307,0.00064,-0.00034,0.00501,0.00119
BLSH260320P00130000,BLSH,2026-03-20,130.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01503,0.00000,-0.75323
BLSH260320C00135000,BLSH,2026-03-20,135.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.27341,0.00175,0.00038,-0.00020,0.00302,0.00068
BLSH260320P00135000,BLSH,2026-03-20,135.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01561,0.00000,-0.78221
BLSH260320C00140000,BLSH,2026-03-20,140.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.29292,0.00204,0.00041,-0.00025,0.00347,0.00079
BLSH260320P00140000,BLSH,2026-03-20,140.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01619,0.00000,-0.81118
